title,key,style,tempo,checked,audio_produced,chords,composers
Recordame,a,,,,,"['Am', 'Am', 'Am', 'Am', 'Cm', 'Cm', 'Cm', 'Cm7', 'F7', 'Bb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Abm7', 'Db7', 'Gb^7', 'Gm7', 'C7', 'F^7', 'E7']","Henderson, Joe"
Pinocchio,e-,,,,,"['Ebm6', 'Ebm6', 'Am', 'Dbm6', 'Dbm6', 'Am', 'D^7', 'D^7', 'Gm^7', 'Gm^7', 'Gm6', 'Eb^7', 'Bm^7', 'Ebm6', 'Ebm6', 'Dbsus', 'Esus', 'B7', 'Gb7', 'F#m^7', 'F#m^7']","Shorter, Wayne"
Gloria's Step,F,,,,,"['F^7', 'Eb^7', 'D^7', 'Db^7', 'C7', 'Fm7', 'F^7', 'Eb^7', 'D^7', 'Db^7', 'C7', 'Fm7', 'Em7', 'F^7', 'Am7', 'E%7', 'G%7', 'D%7', 'F%7', 'Bb%7', 'Eb7', 'Eb7']","LaFaro, Scott"
Just A Gigolo,F,,,,,"['F^', 'F^7', 'F^', 'Abo7', 'Gm7', 'D7', 'Gm', 'Gm7', 'C7', 'F^', 'F7', 'Eb7', 'D7', 'Gm7', 'Bbm7', 'Eb7', 'Am7', 'D7', 'Gm7', 'C7', 'F^', 'C7']","Casucci, Leonello"
Little Boat (O Barquinho),B-,,,,,"['Bb^7', 'Bb^7', 'Em7', 'A7', 'Em7', 'A7', 'Ab^7', 'Ab^7', 'Dm7', 'G7', 'Dm7', 'G7', 'Gb^7', 'Gb^7', 'Cm7', 'F7', 'Cm7', 'F7', 'Dm7', 'G7', 'Cm7', 'F7']","Menescal, Roberto"
Little B's Poem,f,,,,,"['Gb^7', 'Fm7', 'Gb^7', 'Fm7', 'Ebm7', 'Db^7', 'Ebm7', 'C7', 'Fm7', 'F#m7', 'B7', 'E^7', 'Fm7', 'Bb7', 'Eb^7', 'Db7', 'C7', 'C7', 'C7', 'Fm7', 'Fm', 'Fm']","Hutcherson, Bobby"
Armando's Rhumba,c,,,,,"['Cm7', 'D7', 'G7', 'Cm7', 'Cm7', 'D7', 'G7', 'Cm7', 'C7', 'Fm7', 'D7', 'Gm7', 'Abo7', 'D7', 'Bbsus', 'Bbsus', 'Bbsus', 'Bbsus', 'Eb6', 'Eb6', 'Eb6', 'Eb6', 'G7']","Corea, Chick"
El Gaucho,F,,,,,"['F^7', 'Eb^7', 'Dm7', 'Bb7', 'B7', 'E7', 'Fm7', 'Gb^7', 'Fm7', 'Gb^7', 'Eb^7', 'Eb^7', 'Eb^7', 'Cm7', 'Dm7', 'G7', 'Cm7', 'Dm7', 'Em7', 'Em7', 'Em7', 'Em7', 'Em7']","Shorter, Wayne"
Nostalgia In Times Square,F,,,,,"['F7', 'Eb7', 'F7', 'Eb7', 'F7', 'Eb7', 'F7', 'Eb7', 'Abm7', 'Db7', 'Abm7', 'Db7', 'F7', 'Eb7', 'F7', 'Eb7', 'Dm7', 'G7', 'Cm7', 'F7', 'Bbm7', 'Eb7', 'F7']","Mingus, Charles"
Pee Wee,D-,,,,,"['Db^7', 'Eb^', 'F^', 'Dm7', 'A^7', 'Bb^7', 'B^7', 'B^7', 'Gsus', 'G7', 'Fsus', 'Db^7', 'Gb^7', 'Gsus', 'G7', 'Eb^7', 'Db^7', 'Gb^7', 'Gb^7', 'Dbsus', 'F^', 'F^', 'F^']","Williams, Tony"
